"weight";"word";"color";"url"
"45";"page";"";""
"45";"pass";"";""
"45";"recall";"";""
"45";"reengineering";"";""
"45";"represents";"";""
"45";"subjects";"";""
"44";"assumption";"";""
"44";"investigated";"";""
"44";"irbl";"";""
"44";"leveraged";"";""
"44";"local";"";""
"44";"machine";"";""
"44";"reduce";"";""
"44";"simple";"";""
"44";"xuan";"";""
"43";"9";"";""
"43";"accessed";"";""
"43";"accurate";"";""
"43";"construction";"";""
"43";"false";"";""
"43";"find";"";""
"43";"just";"";""
"43";"likely";"";""
"43";"numbers";"";""
"43";"problem";"";""
"43";"therefore";"";""
"42";"address";"";""
"42";"bodies";"";""
"42";"computing";"";""
"42";"elements";"";""
"42";"faults";"";""
"42";"generating";"";""
"42";"journal";"";""
"42";"learned";"";""
"42";"less";"";""
"42";"leveraging";"";""
"42";"second";"";""
"42";"total";"";""
"42";"widely";"";""
"41";"abreu";"";""
"41";"actual";"";""
"41";"claire";"";""
"41";"compute";"";""
"41";"datasets";"";""
"41";"david";"";""
"41";"finding";"";""
"41";"least";"";""
"41";"math";"";""
"41";"per";"";""
"41";"pipeline";"";""
"41";"positions";"";""
"41";"produce";"";""
"41";"recently";"";""
"41";"result";"";""
"40";"10";"";""
"40";"apply";"";""
"40";"comparing";"";""
"40";"dissection";"";""
"40";"four";"";""
"40";"insert";"";""
"40";"irfl";"";""
"40";"neural";"";""
"40";"objective";"";""
"40";"template-based";"";""
"40";"valid";"";""
"39";"design";"";""
"39";"entity";"";""
"39";"genprog";"";""
"39";"identical";"";""
"39";"selected";"";""
"39";"stack";"";""
"39";"systematic";"";""
"39";"trees";"";""
"39";"uses";"";""
"39";"yielded";"";""
"38";"behavior";"";""
"38";"com";"";""
"38";"compare";"";""
"38";"cost";"";""
"38";"extent";"";""
"38";"forrest";"";""
"38";"function";"";""
"38";"generic";"";""
"38";"hand";"";""
"38";"ir-based";"";""
"38";"multiple";"";""
"38";"present";"";""
"38";"ssfix";"";""
"38";"support";"";""
"38";"tests";"";""
"38";"transactions";"";""
"38";"ﬁnd";"";""
"37";"across";"";""
"37";"biases";"";""
"37";"description";"";""
"37";"etc";"";""
"37";"human-written";"";""
"37";"impacted";"";""
"37";"important";"";""
"37";"represent";"";""
"37";"size";"";""
"37";"steps";"";""
"37";"syntax";"";""
"37";"zhong";"";""
"36";"27th";"";""
"36";"40th";"";""
"36";"combinations";"";""
"36";"extract";"";""
"36";"human";"";""
"36";"improving";"";""
"36";"including";"";""
"36";"jmutrepair";"";""
"36";"known";"";""
"36";"might";"";""
"36";"public";"";""
"36";"real";"";""
"36";"rely";"";""
"36";"sketchfix";"";""
"36";"successfully";"";""
"36";"threshold";"";""
"36";"user";"";""
"35";"32nd";"";""
"35";"able";"";""
"35";"applying";"";""
"35";"availability";"";""
"35";"average";"";""
"35";"computer";"";""
"35";"exact";"";""
"35";"fragment";"";""
"35";"jkali";"";""
"35";"lang";"";""
"35";"limit";"";""
"35";"limitation";"";""
"35";"naming";"";""
"35";"subject";"";""
"34";"diverse";"";""
"34";"explored";"";""
"34";"genetic";"";""
"34";"implement";"";""
"34";"jgenprog";"";""
"34";"limited";"";""
"34";"selection";"";""
"34";"spectrum-based";"";""
"34";"still";"";""
"34";"suites";"";""
"34";"target";"";""
"34";"validated";"";""
"33";"cc2vec";"";""
"33";"closure";"";""
"33";"condition";"";""
"33";"full";"";""
"33";"fully";"";""
"33";"heuristics";"";""
"33";"higher";"";""
"33";"hunks";"";""
"33";"inference";"";""
"33";"investigation";"";""
"33";"key";"";""
"33";"need";"";""
"33";"open";"";""
"33";"potential";"";""
"33";"practical";"";""
"33";"reliability";"";""
"33";"retrieval";"";""
"33";"shape";"";""
"33";"update";"";""
"33";"yet";"";""
"32";"25th";"";""
"32";"access";"";""
"32";"already";"";""
"32";"configuration";"";""
"32";"exp";"";""
"32";"fine-grained";"";""
"32";"help";"";""
"32";"instead";"";""
"32";"int";"";""
"32";"invocation";"";""
"32";"knowledge";"";""
"32";"mao";"";""
"32";"nature";"";""
"32";"now";"";""
"32";"position";"";""
"32";"require";"";""
"32";"scenario";"";""
"32";"science";"";""
"32";"speciﬁc";"";""
"32";"top";"";""
"32";"york";"";""
"31";"arxiv";"";""
"31";"barr";"";""
"31";"ensure";"";""
"31";"evaluate";"";""
"31";"extracted";"";""
"31";"focused";"";""
"31";"issues";"";""
"31";"part";"";""
"31";"perform";"";""
"31";"precision";"";""
"31";"preprint";"";""
"31";"processing";"";""
"31";"recurrent";"";""
"31";"respect";"";""
"31";"security";"";""
"31";"similarly";"";""
"31";"suggest";"";""
"31";"suggests";"";""
"31";"synthesis";"";""
"31";"way";"";""
"31";"ﬁxes";"";""
"30";"addition";"";""
"30";"built";"";""
"30";"complexity";"";""
"30";"differencing";"";""
"30";"doc2vec";"";""
"30";"framework";"";""
"30";"identiﬁed";"";""
"30";"mutation";"";""
"30";"nonsensical";"";""
"30";"ones";"";""
"30";"operation";"";""
"30";"output";"";""
"30";"processes";"";""
"30";"specialized";"";""
"30";"state";"";""
"30";"systematically";"";""
"30";"tasks";"";""
"29";"2019a";"";""
"29";"application";"";""
"29";"assessing";"";""
"29";"attempts";"";""
"29";"changed";"";""
"29";"clusters";"";""
"29";"con";"";""
"29";"contains";"";""
"29";"differences";"";""
"29";"evaluated";"";""
"29";"korea";"";""
"29";"locality";"";""
"29";"main";"";""
"29";"probability";"";""
"29";"root";"";""
"29";"roychoudhury";"";""
"29";"rules";"";""
"29";"sbfl";"";""
"29";"select";"";""
"29";"small";"";""
"29";"suggested";"";""
"29";"technology";"";""
"29";"test-based";"";""
"29";"text";"";""
"29";"thomas";"";""
"29";"working";"";""
"28";"arja";"";""
"28";"base";"";""
"28";"baseline";"";""
"28";"chart";"";""
"28";"directly";"";""
"28";"findbugs";"";""
"28";"form";"";""
"28";"identified";"";""
"28";"ifstatement";"";""
"28";"lee";"";""
"28";"match";"";""
"28";"mockito";"";""
"28";"noise";"";""
"28";"otherwise";"";""
"28";"parameters";"";""
"28";"precise";"";""
"28";"question";"";""
"28";"rank";"";""
"28";"reliable";"";""
"28";"rq1";"";""
"28";"searching";"";""
"28";"sequence";"";""
"28";"settings";"";""
"28";"takes";"";""
"28";"tions";"";""
"28";"tracking";"";""
"28";"unfortunately";"";""
"28";"𝑁";"";""
"27";"benchmarks";"";""
"27";"brun";"";""
"27";"code2vec";"";""
"27";"furthermore";"";""
"27";"identiﬁers";"";""
"27";"indicates";"";""
"27";"insights";"";""
"27";"july";"";""
"27";"kisub";"";""
"27";"leverages";"";""
"27";"mainly";"";""
"27";"others";"";""
"27";"pointer";"";""
"27";"possible";"";""
"27";"promising";"";""
"27";"random";"";""
"27";"regression";"";""
"27";"score";"";""
"27";"see";"";""
"27";"spc";"";""
"27";"trans";"";""
"27";"validate";"";""
"27";"versions";"";""
"27";"whole";"";""
"27";"yang";"";""
"26";"10th";"";""
"26";"collect";"";""
"26";"defects";"";""
"26";"degree";"";""
"26";"dlh";"";""
"26";"driven";"";""
"26";"dynamic";"";""
"26";"errors";"";""
"26";"examples";"";""
"26";"explore";"";""
"26";"languages";"";""
"26";"live";"";""
"26";"mar";"";""
"26";"mutating";"";""
"26";"pan";"";""
"26";"phase";"";""
"26";"press";"";""
"26";"requires";"";""
"26";"setting";"";""
"26";"studied";"";""
"26";"traces";"";""
"26";"whose";"";""
"26";"yield";"";""
"25";"11th";"";""
"25";"22nd";"";""
"25";"26th";"";""
"25";"clustering";"";""
"25";"considers";"";""
"25";"effort";"";""
"25";"enable";"";""
"25";"failing";"";""
"25";"feature";"";""
"25";"hmg";"";""
"25";"identiﬁer";"";""
"25";"leading";"";""
"25";"makes";"";""
"25";"matched";"";""
"25";"networks";"";""
"25";"normal";"";""
"25";"oracle";"";""
"25";"outperforms";"";""
"25";"percentage";"";""
"25";"prapr";"";""
"25";"prediction";"";""
"25";"preliminary";"";""
"25";"reiss";"";""
"25";"repairing";"";""
"25";"rq2";"";""
"25";"rq3";"";""
"25";"scenarios";"";""
"25";"sets";"";""
"25";"simply";"";""
"25";"task";"";""
"25";"users";"";""
"25";"xin";"";""
"24";"addressed";"";""
"24";"algorithms";"";""
"24";"attempt";"";""
"24";"bucket";"";""
"24";"characteristics";"";""
"24";"contain";"";""
"24";"described";"";""
"24";"discuss";"";""
"24";"eclipse";"";""
"24";"european";"";""
"24";"hunk";"";""
"24";"matias";"";""
"24";"modiﬁer";"";""
"24";"n/a";"";""
"24";"ods";"";""
"24";"package";"";""
"24";"partially";"";""
"24";"pre/post-processing";"";""
"24";"presents";"";""
"24";"reference";"";""
"24";"relies";"";""
"24";"repairability";"";""
"24";"take";"";""
"24";"understanding";"";""
"24";"written";"";""
"24";"yan";"";""
"23";"appear";"";""
"23";"attachment";"";""
"23";"august";"";""
"23";"bug-fixing";"";""
"23";"building";"";""
"23";"categories";"";""
"23";"consists";"";""
"23";"criteria";"";""
"23";"database";"";""
"23";"declaration";"";""
"23";"defined";"";""
"23";"external";"";""
"23";"focuses";"";""
"23";"group";"";""
"23";"hua";"";""
"23";"iii";"";""
"23";"increase";"";""
"23";"infer";"";""
"23";"localizable";"";""
"23";"made";"";""
"23";"plausibly";"";""
"23";"produced";"";""
"23";"quality";"";""
"23";"reasons";"";""
"23";"refer";"";""
"23";"referred";"";""
"23";"replacing";"";""
"23";"scope";"";""
"23";"sofix";"";""
"23";"stack-trace";"";""
"23";"years";"";""
"22";"24th";"";""
"22";"28th";"";""
"22";"31st";"";""
"22";"35th";"";""
"22";"attention";"";""
"22";"clone";"";""
"22";"concretely";"";""
"22";"criterion";"";""
"22";"delete";"";""
"22";"denotes";"";""
"22";"expect";"";""
"22";"follows";"";""
"22";"groups";"";""
"22";"hao";"";""
"22";"huang";"";""
"22";"illustrates";"";""
"22";"ins";"";""
"22";"instance";"";""
"22";"jaid";"";""
"22";"lawall";"";""
"22";"pair";"";""
"22";"proceed";"";""
"22";"saner";"";""
"22";"significant";"";""
"22";"sizes";"";""
"22";"supported";"";""
"22";"tse";"";""
"22";"westley";"";""
"22";"xiaoguang";"";""
"21";"accepted";"";""
"21";"adequate";"";""
"21";"column";"";""
"21";"core";"";""
"21";"detect";"";""
"21";"deﬁned";"";""
"21";"distance";"";""
"21";"far";"";""
"21";"gram";"";""
"21";"identiﬁcation";"";""
"21";"investigating";"";""
"21";"investigations";"";""
"21";"means";"";""
"21";"median";"";""
"21";"missing";"";""
"21";"positives";"";""
"21";"prasad";"";""
"21";"rather";"";""
"21";"rolim";"";""
"21";"showed";"";""
"21";"tian";"";""
"21";"true";"";""
"21";"van";"";""
"20";"23rd";"";""
"20";"34th";"";""
"20";"39th";"";""
"20";"apache";"";""
"20";"appropriate";"";""
"20";"avoid";"";""
"20";"beyond";"";""
"20";"boolean";"";""
"20";"cnns";"";""
"20";"compatible";"";""
"20";"computed";"";""
"20";"conclusion";"";""
"20";"concrete";"";""
"20";"construct";"";""
"20";"conﬁgurations";"";""
"20";"critical";"";""
"20";"detected";"";""
"20";"developed";"";""
"20";"directions";"";""
"20";"distinct";"";""
"20";"distributed";"";""
"20";"every";"";""
"20";"falleri";"";""
"20";"highlight";"";""
"20";"hypothesis";"";""
"20";"illustrated";"";""
"20";"importance";"";""
"20";"improved";"";""
"20";"ingredient";"";""
"20";"integrated";"";""
"20";"intrinsic";"";""
"20";"kinds";"";""
"20";"labeled";"";""
"20";"large-scale";"";""
"20";"later";"";""
"20";"learn";"";""
"20";"look";"";""
"20";"maintainers";"";""
"20";"mine";"";""
"20";"ming";"";""
"20";"namely";"";""
"20";"obtained";"";""
"20";"pat";"";""
"20";"pre-trained";"";""
"20";"released";"";""
"20";"replication";"";""
"20";"tan";"";""
"20";"works";"";""
"20";"wrong";"";""
"19";"art";"";""
"19";"assessed";"";""
"19";"bench4bl";"";""
"19";"block";"";""
"19";"bugs.jar";"";""
"19";"challenge";"";""
"19";"conducted";"";""
"19";"constraints";"";""
"19";"cosine";"";""
"19";"currently";"";""
"19";"direction";"";""
"19";"diversity";"";""
"19";"element";"";""
"19";"ernst";"";""
"19";"except";"";""
"19";"explicitly";"";""
"19";"general";"";""
"19";"generate-and-validate";"";""
"19";"hercules";"";""
"19";"high";"";""
"19";"located";"";""
"19";"looking";"";""
"19";"michael";"";""
"19";"parsed";"";""
"19";"patcheshmg";"";""
"19";"pattern-based";"";""
"19";"positive";"";""
"19";"private";"";""
"19";"reducing";"";""
"19";"redundancy";"";""
"19";"returnstatement";"";""
"19";"revision";"";""
"19";"rui";"";""
"19";"sobreira";"";""
"19";"spread";"";""
"19";"springer";"";""
"19";"structure";"";""
"19";"submitted";"";""
"19";"suggesting";"";""
"19";"targeting";"";""
"19";"trained";"";""
"19";"wong";"";""
"18";"aaai";"";""
"18";"astor";"";""
"18";"biased";"";""
"18";"collateral";"";""
"18";"collection";"";""
"18";"commonly";"";""
"18";"compared";"";""
"18";"contrast";"";""
"18";"conﬁguration";"";""
"18";"di(cid:29)erent";"";""
"18";"either";"";""
"18";"esec/fse";"";""
"18";"fan";"";""
"18";"feb";"";""
"18";"findings";"";""
"18";"fnr";"";""
"18";"fse";"";""
"18";"ghatpande";"";""
"18";"ground";"";""
"18";"icsme";"";""
"18";"improvement";"";""
"18";"in-plausible";"";""
"18";"ings";"";""
"18";"introduction";"";""
"18";"larger";"";""
"18";"mechtaev";"";""
"18";"methodinvocation";"";""
"18";"open-source";"";""
"18";"predict";"";""
"18";"produces";"";""
"18";"received";"";""
"18";"recommendation";"";""
"18";"repository";"";""
"18";"run";"";""
"18";"setup";"";""
"18";"simplename";"";""
"18";"spaces";"";""
"18";"standard";"";""
"18";"string";"";""
"18";"summarizes";"";""
"18";"syntactic";"";""
"18";"thr";"";""
"18";"trace";"";""
"18";"transformations";"";""
"18";"transforms";"";""
"18";"trust";"";""
"18";"upper";"";""
"18";"variables";"";""
"18";"workflow";"";""
"18";"yields";"";""
"18";"zhou";"";""
"17";"2019b";"";""
"17";"accurately";"";""
"17";"achieves";"";""
"17";"acm/ieee";"";""
"17";"adoption";"";""
"17";"background";"";""
"17";"basic";"";""
"17";"bears";"";""
"17";"carefully";"";""
"17";"cast";"";""
"17";"challenging";"";""
"17";"checking";"";""
"17";"cheung";"";""
"17";"coccinelle";"";""
"17";"code-entity";"";""
"17";"date";"";""
"17";"diff";"";""
"17";"error";"";""
"17";"foundation";"";""
"17";"gemund";"";""
"17";"holds";"";""
"17";"indicate";"";""
"17";"inputs";"";""
"17";"integration";"";""
"17";"internal";"";""
"17";"keywords";"";""
"17";"listed";"";""
"17";"localize";"";""
"17";"low";"";""
"17";"lower";"";""
"17";"major";"";""
"17";"observe";"";""
"17";"pairs";"";""
"17";"paragraph";"";""
"17";"parfixminer";"";""
"17";"patchesdlh";"";""
"17";"perfect";"";""
"17";"points";"";""
"17";"prioritization";"";""
"17";"ratio";"";""
"17";"search-based";"";""
"17";"semantically";"";""
"17";"six";"";""
"17";"smith";"";""
"17";"snt";"";""
"17";"successful";"";""
"17";"suspiciousness";"";""
"17";"tool-supported";"";""
"17";"truth";"";""
"17";"yoshida";"";""
"16";"account";"";""
"16";"actionable";"";""
"16";"additionally";"";""
"16";"advanced";"";""
"16";"australia";"";""
"16";"benchmarking";"";""
"16";"bug-triggering";"";""
"16";"call";"";""
"16";"cardumen";"";""
"16";"ceedings";"";""
"16";"complex";"";""
"16";"configurations";"";""
"16";"contexts";"";""
"16";"convolutional";"";""
"16";"developer-provided";"";""
"16";"dim";"";""
"16";"double";"";""
"16";"dynamoth";"";""
"16";"engine";"";""
"16";"engineer";"";""
"16";"evolutions";"";""
"16";"excerpted";"";""
"16";"exploring";"";""
"16";"field";"";""
"16";"fixminer’s";"";""
"16";"ghanbari";"";""
"16";"github";"";""
"16";"good";"";""
"16";"gupta";"";""
"16";"hard";"";""
"16";"highlighted";"";""
"16";"implementations";"";""
"16";"inferred";"";""
"16";"insight";"";""
"16";"interdisciplinary";"";""
"16";"ization";"";""
"16";"latter";"";""
"16";"mainline";"";""
"16";"mean";"";""
"16";"measure";"";""
"16";"mostly";"";""
"16";"move";"";""
"16";"named";"";""
"16";"object-oriented";"";""
"16";"parts";"";""
"16";"predicting";"";""
"16";"professor";"";""
"16";"query";"";""
"16";"references";"";""
"16";"relationship";"";""
"16";"removal";"";""
"16";"replace";"";""
"16";"republic";"";""
"16";"required";"";""
"16";"revisiting";"";""
"16";"september";"";""
"16";"sequences";"";""
"16";"statistical";"";""
"16";"stephanie";"";""
"16";"straightforward";"";""
"16";"tech";"";""
"16";"terns";"";""
"16";"virtual";"";""
"16";"vsm";"";""
"16";"wild";"";""
"16";"word";"";""
"16";"ﬁles";"";""
"16";"ﬁnding";"";""
"15";"11";"";""
"15";"36th";"";""
"15";"acceptance";"";""
"15";"achieved";"";""
"15";"affect";"";""
"15";"aims";"";""
"15";"author";"";""
"15";"behaviour";"";""
"15";"bound";"";""
"15";"buckets";"";""
"15";"california";"";""
"15";"centre";"";""
"15";"comparable";"";""
"15";"controlled";"";""
"15";"copies";"";""
"15";"define";"";""
"15";"demonstrated";"";""
"15";"discussion";"";""
"15";"easy";"";""
"15";"fl-based";"";""
"15";"format";"";""
"15";"gao";"";""
"15";"gap";"";""
"15";"gen";"";""
"15";"genesis";"";""
"15";"ghz";"";""
"15";"hierarchical";"";""
"15";"implements";"";""
"15";"involved";"";""
"15";"iteration";"";""
"15";"lyu";"";""
"15";"madeiral";"";""
"15";"majority";"";""
"15";"network";"";""
"15";"npc";"";""
"15";"passing";"";""
"15";"pipelines";"";""
"15";"pre-processing";"";""
"15";"previously";"";""
"15";"quixbugs";"";""
"15";"recommend";"";""
"15";"remaining";"";""
"15";"remains";"";""
"15";"running";"";""
"15";"seoul";"";""
"15";"significantly";"";""
"15";"smpl";"";""
"15";"survey";"";""
"15";"swr";"";""
"15";"tbarp";"";""
"15";"third";"";""
"15";"transformation";"";""
"15";"verification";"";""
"15";"yingfei";"";""
"15";"yuan";"";""
"15";"𝑃𝐶";"";""
"15";"ﬁne-grained";"";""
"14";"12";"";""
"14";"41st";"";""
"14";"addressing";"";""
"14";"adj";"";""
"14";"always";"";""
"14";"api";"";""
"14";"auto";"";""
"14";"buglocator";"";""
"14";"campos";"";""
"14";"characterize";"";""
"14";"child";"";""
"14";"cid:27)les";"";""
"14";"cid:27)nding";"";""
"14";"clearly";"";""
"14";"comparisons";"";""
"14";"complete";"";""
"14";"comprehension";"";""
"14";"conduct";"";""
"14";"contributions";"";""
"14";"cpu";"";""
"14";"create";"";""
"14";"describe";"";""
"14";"difference";"";""
"14";"discovered";"";""
"14";"exist";"";""
"14";"fail";"";""
"14";"failed";"";""
"14";"five";"";""
"14";"formance";"";""
"14";"genprog-a";"";""
"14";"grant";"";""
"14";"included";"";""
"14";"julia";"";""
"14";"largest";"";""
"14";"mapping";"";""
"14";"memory";"";""
"14";"ments";"";""
"14";"never";"";""
"14";"notably";"";""
"14";"numerical";"";""
"14";"operating";"";""
"14";"parent";"";""
"14";"pivot";"";""
"14";"plausibility";"";""
"14";"practitioners";"";""
"14";"properties";"";""
"14";"readily";"";""
"14";"reasoning";"";""
"14";"recommended";"";""
"14";"replacement";"";""
"14";"representing";"";""
"14";"shangwen";"";""
"14";"sigplan";"";""
"14";"stm";"";""
"14";"suggestion";"";""
"14";"together";"";""
"14";"varying";"";""
"14";"vfix";"";""
"14";"vii";"";""
"14";"words";"";""
"14";"yes";"";""
"14";"zeller";"";""
"14";"zoeteweij";"";""
"14";"ﬁle";"";""
"13";"37th";"";""
"13";"according";"";""
"13";"adding";"";""
"13";"adjacent";"";""
"13";"allamanis";"";""
"13";"associate";"";""
"13";"association";"";""
"13";"barbara";"";""
"13";"beijing";"";""
"13";"builds";"";""
"13";"carry";"";""
"13";"cid:27)le";"";""
"13";"cid:48";"";""
"13";"closer";"";""
"13";"comput";"";""
"13";"consistency";"";""
"13";"contracts";"";""
"13";"definition";"";""
"13";"depending";"";""
"13";"detailed";"";""
"13";"discussed";"";""
"13";"drive";"";""
"13";"essential";"";""
"13";"estonia";"";""
"13";"event";"";""
"13";"excluded";"";""
"13";"feasibility";"";""
"13";"fixpattern";"";""
"13";"focusing";"";""
"13";"for(int";"";""
"13";"furia";"";""
"13";"git";"";""
"13";"gnu";"";""
"13";"han";"";""
"13";"http";"";""
"13";"implies";"";""
"13";"increased";"";""
"13";"inserting";"";""
"13";"intel";"";""
"13";"interest";"";""
"13";"inﬁxexpression";"";""
"13";"kali-a";"";""
"13";"layers";"";""
"13";"leaf";"";""
"13";"lei";"";""
"13";"limitations";"";""
"13";"lists";"";""
"13";"literal";"";""
"13";"messages";"";""
"13";"methodology";"";""
"13";"noted";"";""
"13";"noteworthy";"";""
"13";"overview";"";""
"13";"parameter";"";""
"13";"pei";"";""
"13";"peng";"";""
"13";"possibility";"";""
"13";"predicate";"";""
"13";"published";"";""
"13";"ram";"";""
"13";"recherche";"";""
"13";"recurrently";"";""
"13";"regarded";"";""
"13";"remove";"";""
"13";"san";"";""
"13";"specifically";"";""
"13";"structural";"";""
"13";"subset";"";""
"13";"substantially";"";""
"13";"suitable";"";""
"13";"sys";"";""
"13";"t.f";"";""
"13";"tallinn";"";""
"13";"tangled";"";""
"13";"targets";"";""
"13";"tegawend";"";""
"13";"template";"";""
"13";"tend";"";""
"13";"textual";"";""
"13";"thresholds";"";""
"13";"top-1";"";""
"13";"top-10";"";""
"13";"understand";"";""
"13";"variations";"";""
"13";"warnings";"";""
